Numero,Nom_intervenants,Date_seances,Num_page,Titre,Texte,Thème
82,Mme la présidente.,29 novembre 2022,7080,QUESTIONS ORALES,,
83,Mme Anne-Catherine Loisier.,29 novembre 2022,7080,QUESTIONS ORALES,,
84,Mme la présidente.,29 novembre 2022,7080,QUESTIONS ORALES,,
85,Mme Michelle Gréaume.,29 novembre 2022,7080,QUESTIONS ORALES,,
86,Mme la présidente.,29 novembre 2022,7081,QUESTIONS ORALES,,
87,"Mme Dominique Faure,",29 novembre 2022,7081,QUESTIONS ORALES,,
88,Mme la présidente.,29 novembre 2022,7081,QUESTIONS ORALES,,
89,M. Fabien Gay.,29 novembre 2022,7081,QUESTIONS ORALES,,
90,Mme la présidente.,29 novembre 2022,7081,QUESTIONS ORALES,,
91,"Mme Dominique Faure,",29 novembre 2022,7081,QUESTIONS ORALES,,
92,M. Fabien Gay.,29 novembre 2022,7082,QUESTIONS ORALES,,
93,"Mme Dominique Faure,",29 novembre 2022,7082,QUESTIONS ORALES,,
94,M. Fabien Gay.,29 novembre 2022,7082,QUESTIONS ORALES,,
95,Mme la présidente.,29 novembre 2022,7082,QUESTIONS ORALES,,
96,M. Jean-Claude Anglars.,29 novembre 2022,7082,QUESTIONS ORALES,,
97,Mme la présidente.,29 novembre 2022,7082,QUESTIONS ORALES,,
98,"Mme Dominique Faure,",29 novembre 2022,7082,QUESTIONS ORALES,,
99,Mme la présidente.,29 novembre 2022,7082,QUESTIONS ORALES,,
100,M. Jean-Claude Anglars.,29 novembre 2022,7082,QUESTIONS ORALES,,
101,Mme la présidente.,29 novembre 2022,7082,QUESTIONS ORALES,,
102,M. Gilbert Roger.,29 novembre 2022,7083,QUESTIONS ORALES,,
103,Mme la présidente.,29 novembre 2022,7083,QUESTIONS ORALES,,
104,"Mme Dominique Faure,",29 novembre 2022,7083,QUESTIONS ORALES,,
105,Mme la présidente.,29 novembre 2022,7083,QUESTIONS ORALES,,
106,Mme Jacqueline Eustache-Brinio.,29 novembre 2022,7083,QUESTIONS ORALES,,
107,Mme la présidente.,29 novembre 2022,7083,QUESTIONS ORALES,,
108,"Mme Dominique Faure,",29 novembre 2022,7083,QUESTIONS ORALES,,
109,Mme Jacqueline Eustache-Brinio.,29 novembre 2022,7084,QUESTIONS ORALES,,
