Numero,Nom_intervenants,Date_seances,Num_page,Titre,Texte,Thème
1,M. le président.,12 juillet 2022,2288,,,
2,M. le président.,12 juillet 2022,2288,PROCÈS-VERBAL,,
3,M. le président.,12 juillet 2022,2288,"ÉLOGE FUNÈBRE DE CATHERINE FOURNIER, SÉNATRICE DU PAS-DE-CALAIS",,
4,"Mme Agnès Pannier-Runacher,",12 juillet 2022,2289,"ÉLOGE FUNÈBRE DE CATHERINE FOURNIER, SÉNATRICE DU PAS-DE-CALAIS",,
5,M. le président.,12 juillet 2022,2290,"ÉLOGE FUNÈBRE DE CATHERINE FOURNIER, SÉNATRICE DU PAS-DE-CALAIS",,
6,M. le président.,12 juillet 2022,2290,"ÉLOGE FUNÈBRE DE CATHERINE FOURNIER, SÉNATRICE DU PAS-DE-CALAIS",,
7,M. le président.,12 juillet 2022,2290,DEMANDE DE RETOUR À LA PROCÉDURE NORMALE POUR L’EXAMEN D’UN PROJET DE LOI,,
8,M. le président.,12 juillet 2022,2291,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Déclaration du Gouvernement suivie d’un débat,,
9,"Mme Catherine Colonna,",12 juillet 2022,2291,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Déclaration du Gouvernement suivie d’un débat,,
10,M. François Patriat.,12 juillet 2022,2294,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Déclaration du Gouvernement suivie d’un débat,,
11,"Mme Catherine Colonna,",12 juillet 2022,2294,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Déclaration du Gouvernement suivie d’un débat,,
12,M. Jean-Baptiste Lemoyne.,12 juillet 2022,2295,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Déclaration du Gouvernement suivie d’un débat,,
13,"Mme Catherine Colonna,",12 juillet 2022,2295,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Déclaration du Gouvernement suivie d’un débat,,
14,M. Christian Cambon.,12 juillet 2022,2295,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Déclaration du Gouvernement suivie d’un débat,,
15,"Mme Catherine Colonna,",12 juillet 2022,2295,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Déclaration du Gouvernement suivie d’un débat,,
16,M. le président.,12 juillet 2022,2295,SOUHAITS DE BIENVENUE À UNE DÉLÉGATION PARLEMENTAIRE,,
17,M. le président.,12 juillet 2022,2296,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
18,"M. Jean-François Rapin,",12 juillet 2022,2296,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
19,M. Pierre Ouzoulias.,12 juillet 2022,2296,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
20,"M. Jean-François Rapin,",12 juillet 2022,2296,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
21,M. Christian Cambon.,12 juillet 2022,2296,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
22,"M. Jean-François Rapin,",12 juillet 2022,2296,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
23,Mme Sophie Primas.,12 juillet 2022,2297,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
24,"M. Jean-François Rapin,",12 juillet 2022,2297,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
25,M. Christian Cambon.,12 juillet 2022,2297,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
26,"M. Jean-François Rapin,",12 juillet 2022,2297,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
27,M. Christian Cambon.,12 juillet 2022,2297,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
28,"M. Jean-François Rapin,",12 juillet 2022,2297,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
29,Mme Sophie Primas.,12 juillet 2022,2297,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
30,"M. Jean-François Rapin,",12 juillet 2022,2297,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
31,M. le président.,12 juillet 2022,2297,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
32,M. Pierre Laurent.,12 juillet 2022,2298,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
33,M. le président.,12 juillet 2022,2299,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
34,M. Claude Kern.,12 juillet 2022,2299,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
35,M. le président.,12 juillet 2022,2300,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
36,Mme Véronique Guillotin.,12 juillet 2022,2300,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
37,M. Didier Marie.,12 juillet 2022,2301,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
38,Mme Véronique Guillotin.,12 juillet 2022,2301,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
39,M. le président.,12 juillet 2022,2301,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
40,M. Didier Marie.,12 juillet 2022,2301,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
41,M. le président.,12 juillet 2022,2302,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
42,M. Jean-Baptiste Lemoyne.,12 juillet 2022,2302,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
43,M. le président.,12 juillet 2022,2304,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
44,M. Claude Malhuret.,12 juillet 2022,2304,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
45,M. André Gattolin.,12 juillet 2022,2304,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
46,M. Claude Malhuret.,12 juillet 2022,2304,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
47,M. le président.,12 juillet 2022,2305,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
48,M. Alain Cadec.,12 juillet 2022,2305,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
49,M. Roger Karoutchi.,12 juillet 2022,2305,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
50,M. Alain Cadec.,12 juillet 2022,2305,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
51,M. Roger Karoutchi.,12 juillet 2022,2305,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
52,M. Alain Cadec.,12 juillet 2022,2305,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
53,M. Roger Karoutchi.,12 juillet 2022,2306,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
54,M. Alain Cadec.,12 juillet 2022,2306,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
55,M. le président.,12 juillet 2022,2306,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
56,M. Jacques Fernique.,12 juillet 2022,2306,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
57,M. le président.,12 juillet 2022,2308,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
58,M. Jean-Yves Leconte.,12 juillet 2022,2308,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
59,M. Patrick Kanner.,12 juillet 2022,2308,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
60,M. Didier Marie.,12 juillet 2022,2308,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
61,M. Jean-Yves Leconte.,12 juillet 2022,2309,BILAN DE LA PRÉSIDENCE FRANÇAISE DE L’UNION EUROPÉENNE Suite d’une déclaration du Gouvernement suivie d’un débat,,
