Date_seances,Num_page,Titre,Texte,Thème
15 février 2022,1705.0,SÉCURITÉ DE LA COUPE DU MONDE  DE FOOTBALL DE 2022 AU QATAR,Article unique,ADOPTION EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
02 août 2022,3203.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Après l’article 9 A,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
02 août 2022,3253.0,LOI DE FINANCES RECTIFICATIVE POUR 2022,Après l’article 10,SUITE DE LA DISCUSSION ET ADOPTION D’UN PROJET DE LOI MODIFIÉ
26 octobre 2022,4304.0,TRAITÉ DE COOPÉRATION BILATÉRALE RENFORCÉE AVEC L’ITALIE,Article unique (Non modifié),ADOPTION DÉFINITIVE EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
26 octobre 2022,4306.0,TRAITÉ DE COOPÉRATION BILATÉRALE RENFORCÉE AVEC L’ITALIE,Article unique (Non modifié),ADOPTION DÉFINITIVE EN PROCÉDURE ACCÉLÉRÉE D’UN PROJET DE LOI DANS LE TEXTE DE LA COMMISSION
08 novembre 2022,4942.0,FINANCEMENT DE LA SÉCURITÉ SOCIALE POUR 2023,Après l’article 7 septies,SUITE DE LA DISCUSSION D’UN PROJET DE LOI
13 décembre 2022,8283.0,QUESTIONS ORALES,,TRANSFORMATION EN PROJET DE LOI DE LA PROPOSITION DE LOI CONSTITUTIONNELLE VISANT À PROTÉGER ET À GARANTIR LE DROIT FONDAMENTAL À L’INTERRUPTION VOLONTAIRE DE GROSSESSE
